symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2016-03-11 00:00:00+00:00,102.26,102.28,101.5,102.24,27408237,23.8508543369,23.8555190845,23.6735939292,23.8461895893,109632948,0.0,1.0
AAPL,2016-03-14 00:00:00+00:00,102.52,102.91,101.78,101.91,25076062,23.9114960553,24.002458633,23.7389003952,23.7692212544,100304248,0.0,1.0
AAPL,2016-03-15 00:00:00+00:00,104.58,105.18,103.85,103.96,40067734,24.3919650553,24.5319074825,24.2217017689,24.2473578806,160270936,0.0,1.0
AAPL,2016-03-16 00:00:00+00:00,105.97,106.31,104.59,104.61,38303493,24.7161650116,24.7954657203,24.3942974291,24.3989621766,153213972,0.0,1.0
AAPL,2016-03-17 00:00:00+00:00,105.8,106.47,104.96,105.52,34420705,24.6765146572,24.8327837009,24.4805952592,24.6112081912,137682820,0.0,1.0
AAPL,2016-03-18 00:00:00+00:00,105.92,106.5,105.19,106.34,44205171,24.7045031426,24.8397808222,24.5342398562,24.8024628416,176820684,0.0,1.0
AAPL,2016-03-21 00:00:00+00:00,105.91,107.65,105.1401,105.93,35502678,24.7021707688,25.1080038076,24.5226013111,24.7068355164,142010712,0.0,1.0
AAPL,2016-03-22 00:00:00+00:00,106.72,107.29,105.21,105.25,32444375,24.8910930455,25.0240383513,24.5389046038,24.548234099,129777500,0.0,1.0
AAPL,2016-03-23 00:00:00+00:00,106.13,107.07,105.9,106.48,25703495,24.7534829921,24.972726128,24.6998383951,24.8351160747,102813980,0.0,1.0
AAPL,2016-03-24 00:00:00+00:00,105.67,106.25,104.89,105.47,26132955,24.646193798,24.7814714776,24.4642686427,24.5995463223,104531820,0.0,1.0
AAPL,2016-03-28 00:00:00+00:00,105.19,106.19,105.06,106.0,19411372,24.5342398562,24.7674772349,24.503918997,24.7231621329,77645488,0.0,1.0
AAPL,2016-03-29 00:00:00+00:00,107.68,107.79,104.88,104.89,31190083,25.115000929,25.1406570406,24.4619362689,24.4642686427,124760332,0.0,1.0
AAPL,2016-03-30 00:00:00+00:00,109.56,110.42,108.6,108.65,45601149,25.5534872008,25.7540713464,25.3295793173,25.3412411862,182404596,0.0,1.0
AAPL,2016-03-31 00:00:00+00:00,108.99,109.9,108.88,109.72,25888449,25.420541895,25.6327879095,25.3948857833,25.5908051814,103553796,0.0,1.0
AAPL,2016-04-01 00:00:00+00:00,109.99,110.0,108.2,108.78,25873950,25.6537792736,25.6561116474,25.2362843659,25.3715620455,103495800,0.0,1.0
AAPL,2016-04-04 00:00:00+00:00,111.12,112.19,110.27,110.42,37356204,25.9173375114,26.1669015065,25.7190857396,25.7540713464,149424816,0.0,1.0
AAPL,2016-04-05 00:00:00+00:00,109.81,110.73,109.42,109.51,26578652,25.6117965454,25.8263749338,25.5208339678,25.5418253319,106314608,0.0,1.0
AAPL,2016-04-06 00:00:00+00:00,110.96,110.98,109.2,110.23,26404077,25.8800195308,25.8846842784,25.4695217445,25.7097562445,105616308,0.0,1.0
AAPL,2016-04-07 00:00:00+00:00,108.54,110.42,108.121,109.95,31801870,25.3155850746,25.7540713464,25.217858613,25.6444497784,127207480,0.0,1.0
AAPL,2016-04-08 00:00:00+00:00,108.66,109.77,108.17,108.91,23581740,25.34357356,25.6024670503,25.2292872445,25.4018829047,94326960,0.0,1.0
AAPL,2016-04-11 00:00:00+00:00,109.02,110.61,108.83,108.97,29407518,25.4275390163,25.7983864483,25.3832239144,25.4158771474,117630072,0.0,1.0
AAPL,2016-04-12 00:00:00+00:00,110.44,110.5,108.66,109.34,27232325,25.758736094,25.7727303367,25.34357356,25.5021749775,108929300,0.0,1.0
AAPL,2016-04-13 00:00:00+00:00,112.04,112.34,110.8,110.8,33257316,26.1319158997,26.2018871133,25.8427015503,25.8427015503,133029264,0.0,1.0
AAPL,2016-04-14 00:00:00+00:00,112.1,112.39,111.33,111.62,25473923,26.1459101425,26.2135489823,25.9663173609,26.0339562007,101895692,0.0,1.0
AAPL,2016-04-15 00:00:00+00:00,109.85,112.3,109.73,112.11,46938969,25.6211260406,26.1925576182,25.5931375551,26.1482425162,187755876,0.0,1.0
AAPL,2016-04-18 00:00:00+00:00,107.48,108.95,106.94,108.89,60821461,25.0683534533,25.4112123998,24.9424052688,25.3972181571,243285844,0.0,1.0
AAPL,2016-04-19 00:00:00+00:00,106.91,108.0,106.23,107.88,32384879,24.9354081475,25.1896368901,24.77680673,25.1616484047,129539516,0.0,1.0
AAPL,2016-04-20 00:00:00+00:00,107.13,108.09,106.06,106.64,30611030,24.9867203708,25.2106282542,24.7371563756,24.8724340552,122444120,0.0,1.0
AAPL,2016-04-21 00:00:00+00:00,105.97,106.93,105.52,106.93,31552525,24.7161650116,24.940072895,24.6112081912,24.940072895,126210100,0.0,1.0
AAPL,2016-04-22 00:00:00+00:00,105.68,106.48,104.62,105.01,33683121,24.6485261718,24.8351160747,24.4012945504,24.4922571281,134732484,0.0,1.0
AAPL,2016-04-25 00:00:00+00:00,105.08,105.65,104.51,105.0,28031588,24.5085837446,24.6415290504,24.3756384388,24.4899247543,112126352,0.0,1.0
AAPL,2016-04-26 00:00:00+00:00,104.35,105.3,103.91,103.91,56016165,24.3383204582,24.5598959679,24.2356960116,24.2356960116,224064660,0.0,1.0
AAPL,2016-04-27 00:00:00+00:00,97.82,98.71,95.68,96.0,114602142,22.8152803759,23.0228616428,22.3161523856,22.3907883468,458408568,0.0,1.0
AAPL,2016-04-28 00:00:00+00:00,94.83,97.88,94.25,97.61,82242690,22.1179006138,22.8292746186,21.9826229342,22.7663005264,328970760,0.0,1.0
AAPL,2016-04-29 00:00:00+00:00,93.74,94.72,92.51,93.99,68531478,21.8636718711,22.0922445022,21.5767898954,21.9219812158,274125912,0.0,1.0
AAPL,2016-05-02 00:00:00+00:00,93.64,94.08,92.4,93.965,48160104,21.8403481333,21.9429725799,21.5511337838,21.9161502813,192640416,0.0,1.0
AAPL,2016-05-03 00:00:00+00:00,95.18,95.74,93.68,94.2,56831277,22.1995336963,22.3301466284,21.8496776284,21.9709610653,227325108,0.0,1.0
AAPL,2016-05-04 00:00:00+00:00,94.19,95.9,93.82,95.2,41025475,21.9686286915,22.3674646089,21.8823308614,22.2041984439,164101900,0.0,1.0
AAPL,2016-05-05 00:00:00+00:00,93.24,94.07,92.68,94.0,35890500,21.8799984876,22.0747689589,21.7485870853,22.0583425337,143562000,0.57,1.0
AAPL,2016-05-06 00:00:00+00:00,92.72,93.45,91.85,93.37,43699886,21.757973614,21.9292777635,21.553816614,21.910504706,174799544,0.0,1.0
AAPL,2016-05-09 00:00:00+00:00,92.79,93.77,92.59,93.0,32936436,21.7744000393,22.0043699934,21.7274673956,21.8236793152,131745744,0.0,1.0
AAPL,2016-05-10 00:00:00+00:00,93.42,93.57,92.11,93.33,33686836,21.922237867,21.9574373497,21.6148290508,21.9011181773,134747344,0.0,1.0
AAPL,2016-05-11 00:00:00+00:00,92.51,93.57,92.46,93.48,28719109,21.7086943382,21.9574373497,21.6969611772,21.9363176601,114876436,0.0,1.0
AAPL,2016-05-12 00:00:00+00:00,90.34,92.78,89.47,92.72,76314690,21.1994751541,21.7720534072,20.9953181541,21.757973614,305258760,0.0,1.0
AAPL,2016-05-13 00:00:00+00:00,90.52,91.67,90.0,90.0,44392765,21.2417145335,21.5115772347,21.1196896599,21.1196896599,177571060,0.0,1.0
AAPL,2016-05-16 00:00:00+00:00,93.88,94.39,91.65,92.39,61259756,22.0301829474,22.1498611888,21.5068839703,21.680534752,245039024,0.0,1.0
AAPL,2016-05-17 00:00:00+00:00,93.49,94.7,93.01,94.55,46916939,21.9386642922,22.2226067866,21.8260259474,22.1874073038,187667756,0.0,1.0
AAPL,2016-05-18 00:00:00+00:00,94.56,95.21,93.89,94.16,42062391,22.189753936,22.342285028,22.0325295796,22.0958886486,168249564,0.0,1.0
AAPL,2016-05-19 00:00:00+00:00,94.2,94.64,93.57,94.64,30442100,22.1052751773,22.2085269935,21.9574373497,22.2085269935,121768400,0.0,1.0
AAPL,2016-05-20 00:00:00+00:00,95.22,95.43,94.52,94.64,32025968,22.3446316602,22.393910936,22.1803674072,22.2085269935,128103872,0.0,1.0
